Episode,Reward,Length
399,13.0,13
400,14.0,14
401,23.0,23
402,17.0,17
403,13.0,13
404,15.0,15
405,11.0,11
406,14.0,14
407,13.0,13
408,17.0,17
409,14.0,14
410,17.0,17
411,18.0,18
412,15.0,15
413,12.0,12
414,14.0,14
415,18.0,18
416,14.0,14
417,13.0,13
418,14.0,14
419,17.0,17
420,13.0,13
421,14.0,14
422,15.0,15
423,14.0,14
424,17.0,17
425,12.0,12
426,15.0,15
427,12.0,12
428,24.0,24
429,17.0,17
430,18.0,18
431,18.0,18
432,16.0,16
433,15.0,15
434,17.0,17
435,11.0,11
436,14.0,14
437,15.0,15
438,17.0,17
439,13.0,13
440,14.0,14
441,12.0,12
442,18.0,18
443,12.0,12
444,11.0,11
445,10.0,10
446,25.0,25
447,14.0,14
448,13.0,13
449,14.0,14
450,15.0,15
451,11.0,11
452,13.0,13
453,15.0,15
454,13.0,13
455,16.0,16
456,17.0,17
457,13.0,13
458,14.0,14
459,15.0,15
460,15.0,15
461,14.0,14
462,13.0,13
463,17.0,17
464,14.0,14
465,12.0,12
466,16.0,16
467,14.0,14
468,15.0,15
469,11.0,11
470,17.0,17
471,17.0,17
472,13.0,13
473,11.0,11
474,13.0,13
475,11.0,11
476,11.0,11
477,13.0,13
478,15.0,15
479,18.0,18
480,13.0,13
481,17.0,17
482,15.0,15
483,12.0,12
484,13.0,13
485,11.0,11
486,13.0,13
487,13.0,13
488,17.0,17
489,17.0,17
490,11.0,11
491,14.0,14
492,11.0,11
493,24.0,24
494,11.0,11
495,17.0,17
496,25.0,25
497,17.0,17
498,13.0,13
499,15.0,15
500,15.0,15
501,14.0,14
502,13.0,13
503,15.0,15
504,12.0,12
505,15.0,15
506,15.0,15
507,18.0,18
508,18.0,18
509,17.0,17
510,14.0,14
511,11.0,11
512,14.0,14
513,15.0,15
514,12.0,12
515,13.0,13
516,15.0,15
517,14.0,14
518,13.0,13
519,13.0,13
520,13.0,13
521,12.0,12
522,12.0,12
523,17.0,17
524,15.0,15
525,15.0,15
526,11.0,11
527,15.0,15
528,11.0,11
529,15.0,15
530,12.0,12
531,13.0,13
532,13.0,13
533,13.0,13
534,18.0,18
535,13.0,13
536,12.0,12
537,13.0,13
538,15.0,15
539,13.0,13
540,11.0,11
541,15.0,15
542,14.0,14
543,12.0,12
544,14.0,14
545,17.0,17
546,17.0,17
547,16.0,16
548,17.0,17
549,15.0,15
550,13.0,13
551,11.0,11
552,15.0,15
553,15.0,15
554,12.0,12
555,15.0,15
556,10.0,10
557,13.0,13
558,14.0,14
559,12.0,12
560,11.0,11
561,11.0,11
562,17.0,17
563,16.0,16
564,16.0,16
565,16.0,16
566,15.0,15
567,12.0,12
568,13.0,13
569,15.0,15
570,14.0,14
571,15.0,15
572,15.0,15
573,17.0,17
574,13.0,13
575,14.0,14
576,13.0,13
577,15.0,15
578,11.0,11
579,13.0,13
580,13.0,13
581,14.0,14
582,13.0,13
583,12.0,12
584,13.0,13
585,16.0,16
586,13.0,13
587,11.0,11
588,13.0,13
589,13.0,13
590,11.0,11
591,16.0,16
592,12.0,12
593,12.0,12
594,18.0,18
595,11.0,11
596,26.0,26
597,17.0,17
598,25.0,25
599,18.0,18
600,15.0,15
601,11.0,11
602,16.0,16
603,13.0,13
604,26.0,26
605,11.0,11
606,13.0,13
607,14.0,14
608,11.0,11
609,14.0,14
610,12.0,12
611,26.0,26
612,11.0,11
613,17.0,17
614,14.0,14
615,12.0,12
616,14.0,14
617,13.0,13
618,13.0,13
619,11.0,11
620,12.0,12
621,18.0,18
622,13.0,13
623,11.0,11
624,15.0,15
625,13.0,13
626,17.0,17
627,12.0,12
628,11.0,11
629,11.0,11
630,18.0,18
631,11.0,11
632,16.0,16
633,13.0,13
634,13.0,13
635,18.0,18
636,17.0,17
637,13.0,13
638,15.0,15
639,13.0,13
640,15.0,15
641,17.0,17
642,11.0,11
643,14.0,14
644,12.0,12
645,13.0,13
646,13.0,13
647,13.0,13
648,13.0,13
649,12.0,12
650,17.0,17
651,16.0,16
652,17.0,17
653,18.0,18
654,13.0,13
655,17.0,17
656,17.0,17
657,16.0,16
658,14.0,14
659,25.0,25
660,14.0,14
661,14.0,14
662,12.0,12
663,12.0,12
664,15.0,15
665,13.0,13
666,16.0,16
667,11.0,11
668,18.0,18
669,18.0,18
670,15.0,15
671,15.0,15
672,16.0,16
673,13.0,13
674,13.0,13
675,16.0,16
676,12.0,12
677,14.0,14
678,11.0,11
679,11.0,11
680,12.0,12
681,16.0,16
682,13.0,13
683,11.0,11
684,11.0,11
685,12.0,12
686,18.0,18
687,14.0,14
688,11.0,11
689,15.0,15
690,16.0,16
691,13.0,13
692,11.0,11
693,13.0,13
694,18.0,18
695,17.0,17
696,15.0,15
697,13.0,13
698,14.0,14
699,19.0,19
700,17.0,17
701,17.0,17
702,17.0,17
703,14.0,14
704,15.0,15
705,12.0,12
706,13.0,13
707,17.0,17
708,15.0,15
709,12.0,12
710,17.0,17
711,17.0,17
712,15.0,15
713,14.0,14
714,13.0,13
715,13.0,13
716,15.0,15
717,26.0,26
718,14.0,14
719,15.0,15
720,17.0,17
721,13.0,13
722,17.0,17
723,15.0,15
724,13.0,13
725,14.0,14
726,17.0,17
727,13.0,13
728,13.0,13
729,11.0,11
730,14.0,14
731,15.0,15
732,17.0,17
733,15.0,15
734,17.0,17
735,12.0,12
736,13.0,13
737,12.0,12
738,13.0,13
739,14.0,14
740,15.0,15
741,13.0,13
742,13.0,13
743,17.0,17
744,15.0,15
745,14.0,14
746,15.0,15
747,16.0,16
748,14.0,14
749,15.0,15
750,15.0,15
751,13.0,13
752,15.0,15
753,17.0,17
754,15.0,15
755,12.0,12
756,12.0,12
757,13.0,13
758,13.0,13
759,13.0,13
760,15.0,15
761,15.0,15
762,22.0,22
763,24.0,24
764,13.0,13
765,18.0,18
766,17.0,17
767,12.0,12
768,11.0,11
769,13.0,13
770,13.0,13
771,15.0,15
772,12.0,12
773,17.0,17
774,13.0,13
775,12.0,12
776,17.0,17
777,13.0,13
778,13.0,13
779,18.0,18
780,11.0,11
781,15.0,15
782,16.0,16
783,18.0,18
784,11.0,11
785,13.0,13
786,12.0,12
787,14.0,14
788,15.0,15
789,12.0,12
790,17.0,17
791,13.0,13
792,13.0,13
793,15.0,15
794,11.0,11
795,17.0,17
796,13.0,13
797,12.0,12
798,17.0,17
799,24.0,24
800,11.0,11
801,13.0,13
802,17.0,17
803,13.0,13
804,14.0,14
805,15.0,15
806,19.0,19
807,18.0,18
808,17.0,17
809,15.0,15
810,15.0,15
811,16.0,16
812,13.0,13
813,15.0,15
814,14.0,14
815,13.0,13
816,18.0,18
817,13.0,13
818,26.0,26
819,24.0,24
820,17.0,17
821,15.0,15
822,13.0,13
823,13.0,13
824,13.0,13
825,14.0,14
826,13.0,13
827,16.0,16
828,17.0,17
829,12.0,12
830,11.0,11
831,12.0,12
832,13.0,13
833,17.0,17
834,14.0,14
835,15.0,15
836,17.0,17
837,26.0,26
838,18.0,18
839,14.0,14
840,15.0,15
841,17.0,17
842,15.0,15
843,16.0,16
844,17.0,17
